ID,Nombre de la Misión,Descripción de la Acción,Tags
1,El Viajero del Tiempo,"Pregunta a un extraño con urgencia ""¿En qué año estamos?"". Al responder, susurra ""¡Funcionó!"" y vete.",#Social #Calle #Actuación
2,Saludo Fantasma,Saluda efusivamente desde lejos a un desconocido como si fuera tu mejor amigo.,#Social #Divertido #Raro
3,Acento Inesperado,Pide tu orden en una cafetería usando un acento extranjero o completamente inventado.,#Voz #Público #Teatro
4,Crítico Incomprendido,"Párate frente a una pared vacía por 1 minuto, asintiendo y frotándote la barbilla pensativamente.",#Calle #Solo #Abstracto
5,Caminata Lunar,Camina hacia atrás durante media cuadra o por todo el pasillo del supermercado.,#Físico #Atrevido #Raro
6,Aplauso Espontáneo,Aplaude sinceramente a alguien cuando tire basura en su lugar o termine de cruzar la calle.,#Social #Positivo #Locura
7,Operación Ganso,"Envíale a un contacto al azar: ""El ganso aterrizó en la piscina, repito, aterrizó"". No respondas en 1 hora.",#Digital #Amigos #Misterio
8,El Extraño de Fondo,"Pídele a alguien que te tome una foto, pero dale la espalda a la cámara y mira al horizonte.",#Social #Foto #Incomodidad
9,El Susurrador,"Busca una paloma, un perro callejero o un árbol y cuéntale un chiste malo de forma dramática.",#Naturaleza #Solo #Absurdo
10,Carrera Imaginaria,"Corre a máxima velocidad por 10 segundos mirando hacia atrás, como si te persiguiera algo invisible.",#Físico #Energía #Calle
11,El Creyente,"Mira al cielo, señala un punto aleatorio sin nubes y di en voz alta ""Sabía que existían"".",#Público #Actuación #Raro
12,DJ de Ascensor,"Si entras a un ascensor con gente, empieza a tararear suavemente música genérica de elevador.",#Público #Voz #Incomodidad
13,Cliente Confuso,Entra a una panadería o tienda de ropa y pregunta muy serio en qué pasillo están los martillos.,#Social #Calle #Atrevido
14,Flashmob de Uno,Pon música en tus audífonos y baila intensamente con todo tu cuerpo durante 15 segundos en la calle.,#Físico #Público #Energía
15,Falso Famoso,"Ponte gafas oscuras y camina tapándote la cara con las manos, diciendo ""Sin fotos por favor"" a la nada.",#Calle #Actuación #Absurdo
16,Entrevista Objetiva,Usa un plátano (o un objeto random) como micrófono y hazle una entrevista a un buzón de correo.,#Locura #Calle #Utilería
17,Cumpleaños Avícola,"Cántale el ""Feliz Cumpleaños"" completo a una paloma en el parque.",#Naturaleza #Voz #Raro
18,Estatua Viviente,Quédate absolutamente congelado en medio de la acera durante 1 minuto exacto.,#Público #Físico #Silencio
19,Crítico Gastronómico,"Antes de morder un alimento en público, huélelo dramáticamente y examínalo a contraluz.",#Comida #Público #Actuación
20,Doble de Acción,"En lugar de dar 3 pasos normales, haz una voltereta (o rueda por el suelo) para llegar a tu destino.",#Físico #Atrevido #Deporte
21,Lector Expresivo,Toma un folleto de supermercado y léelo en voz alta como si fuera un poema trágico.,#Voz #Calle #Teatro
22,Elogio Raro,"Dile a un amigo o conocido de la nada: ""Tienes unos codos increíblemente simétricos"".",#Amigos #Social #Incomodidad
23,Narrador Deportivo,Narra en voz baja (pero que se escuche) la caminata normal de un peatón frente a ti.,#Voz #Calle #Divertido
24,Búsqueda del Tesoro,"Agáchate a mirar debajo de un banco público, pon cara de asombro y vete rápidamente.",#Público #Actuación #Misterio
25,Operador del Zapato,"Quítate un zapato, póntelo en la oreja y ten una acalorada discusión sobre negocios.",#Clásico #Calle #Absurdo
26,GPS Humano,"Si te equivocas de calle o tropiezas, di en voz alta con tono robótico: ""Recalculando ruta..."".",#Solo #Voz #Calle
27,El Suelo es Lava,Avanza 20 metros pisando solamente el mismo color de baldosas o evitando pisar las líneas.,#Físico #Solo #Juego
28,Saludo Militar,Párate firme y hazle un saludo militar perfecto a un cajero automático antes de usarlo.,#Público #Raro #Silencio
29,Risa Desconectada,Ríete a carcajadas mirando fijamente la pantalla de tu celular mientras está completamente apagada.,#Público #Actuación #Energía
30,Despedida Épica,Despídete del cajero del supermercado como si fueras a embarcar en un viaje sin retorno de 10 años.,#Social #Teatro #Atrevido
31,El Agente Secreto,"Al recibir tu café o comida, guiña un ojo, susurra ""El paquete está asegurado"" y sal del local.",#Social #Misterio #Atrevido
